topic,term,cosine,df,weight,category,parent,is_seed
Historical_Slavery_Colonialism,slavernij,1.0,775,1.0,core,slavernij,1
Historical_Slavery_Colonialism,slavernijverleden,1.0,231,1.0,core,slavernijverleden,1
Historical_Slavery_Colonialism,slaven,1.0,479,1.0,core,slaven,1
Historical_Slavery_Colonialism,slavenhandel,1.0,400,1.0,core,slavenhandel,1
Historical_Slavery_Colonialism,slaafgemaakten,1.0,345,1.0,core,slaafgemaakten,1
Historical_Slavery_Colonialism,slaaf,1.0,327,1.0,core,slaaf,1
Historical_Slavery_Colonialism,wic,1.0,141,1.0,core,wic,1
Historical_Slavery_Colonialism,voc,1.0,162,1.0,core,voc,1
Historical_Slavery_Colonialism,afschaffing,1.0,259,1.0,core,afschaffing,1
Historical_Slavery_Colonialism,emancipatie,1.0,123,1.0,core,emancipatie,1
Historical_Slavery_Colonialism,kolonialisme,1.0,118,1.0,core,kolonialisme,1
Historical_Slavery_Colonialism,koloniën,1.0,278,1.0,core,koloniën,1
Historical_Slavery_Colonialism,plantage-eigenaren,1.0,34,1.0,core,plantage-eigenaren,1
Historical_Slavery_Colonialism,planters,1.0,124,1.0,core,planters,1
Historical_Slavery_Colonialism,plantagesysteem,1.0,6,1.0,core,plantagesysteem,1
Historical_Slavery_Colonialism,rassendiscriminatie,1.0,5,1.0,core,rassendiscriminatie,1
Historical_Slavery_Colonialism,koloniale,1.0,524,0.9,strongly_related,koloniale,1
Historical_Slavery_Colonialism,kolonie,1.0,207,0.9,strongly_related,kolonie,1
Historical_Slavery_Colonialism,kolonisten,1.0,62,0.9,strongly_related,kolonisten,1
Historical_Slavery_Colonialism,kolonisatie,1.0,23,0.9,strongly_related,kolonisatie,1
Historical_Slavery_Colonialism,slavenschepen,1.0,120,0.9,strongly_related,slavenschepen,1
Historical_Slavery_Colonialism,slavenschip,1.0,87,0.9,strongly_related,slavenschip,1
Historical_Slavery_Colonialism,slavenhandelaren,1.0,50,0.9,strongly_related,slavenhandelaren,1
Historical_Slavery_Colonialism,slavenhouders,1.0,50,0.9,strongly_related,slavenhouders,1
Historical_Slavery_Colonialism,slaafgemaakte,1.0,144,0.9,strongly_related,slaafgemaakte,1
Historical_Slavery_Colonialism,slavenhalers,1.0,27,0.9,strongly_related,slavenhalers,1
Historical_Slavery_Colonialism,slavenmarkt,1.0,11,0.9,strongly_related,slavenmarkt,1
Historical_Slavery_Colonialism,suikerplantages,1.0,18,0.9,strongly_related,suikerplantages,1
Historical_Slavery_Colonialism,koffieplantage,1.0,13,0.9,strongly_related,koffieplantage,1
Historical_Slavery_Colonialism,katoenplantages,1.0,5,0.9,strongly_related,katoenplantages,1
Historical_Slavery_Colonialism,plantageslavernij,1.0,3,0.9,strongly_related,plantageslavernij,1
Historical_Slavery_Colonialism,plantagesamenleving,1.0,4,0.9,strongly_related,plantagesamenleving,1
Historical_Slavery_Colonialism,dwangarbeid,1.0,27,0.9,strongly_related,dwangarbeid,1
Historical_Slavery_Colonialism,raciale,1.0,29,0.9,strongly_related,raciale,1
Historical_Slavery_Colonialism,raciaal,1.0,6,0.9,strongly_related,raciaal,1
Historical_Slavery_Colonialism,superioriteit,1.0,17,0.9,strongly_related,superioriteit,1
Historical_Slavery_Colonialism,inferioriteit,1.0,6,0.9,strongly_related,inferioriteit,1
Historical_Slavery_Colonialism,beschaving,1.0,15,0.9,strongly_related,beschaving,1
Historical_Slavery_Colonialism,hiërarchie,1.0,16,0.9,strongly_related,hiërarchie,1
Historical_Slavery_Colonialism,slavernijgeschiedenis,1.0,29,0.7,moderately_related,slavernijgeschiedenis,1
Historical_Slavery_Colonialism,slavernijsysteem,1.0,25,0.7,moderately_related,slavernijsysteem,1
Historical_Slavery_Colonialism,slavenopstand,1.0,24,0.7,moderately_related,slavenopstand,1
Historical_Slavery_Colonialism,slavenverzet,1.0,6,0.7,moderately_related,slavenverzet,1
Historical_Slavery_Colonialism,slavenarbeid,1.0,17,0.7,moderately_related,slavenarbeid,1
Historical_Slavery_Colonialism,plantage-economie,1.0,10,0.7,moderately_related,plantage-economie,1
Historical_Slavery_Colonialism,plantagekolonie,1.0,6,0.7,moderately_related,plantagekolonie,1
Historical_Slavery_Colonialism,dekolonisatie,1.0,14,0.7,moderately_related,dekolonisatie,1
Historical_Slavery_Colonialism,rassenverhoudingen,1.0,3,0.7,moderately_related,rassenverhoudingen,1
Historical_Slavery_Colonialism,rassentheorieën,1.0,2,0.7,moderately_related,rassentheorieën,1
Historical_Slavery_Colonialism,superioriteitsgevoel,1.0,3,0.7,moderately_related,superioriteitsgevoel,1
Historical_Slavery_Colonialism,superioriteitsdenken,1.0,2,0.7,moderately_related,superioriteitsdenken,1
Historical_Slavery_Colonialism,rasdenken,1.0,2,0.7,moderately_related,rasdenken,1
Historical_Slavery_Colonialism,koloniaal-raciale,1.0,1,0.7,moderately_related,koloniaal-raciale,1
Historical_Slavery_Colonialism,geschiedenis,1.0,316,0.3,context,geschiedenis,1
Historical_Slavery_Colonialism,koloniale-,0.9819,2,0.9,strongly_related,koloniale,0
Historical_Slavery_Colonialism,koloniaal,0.9781,77,0.9,strongly_related,koloniale,0
Historical_Slavery_Colonialism,kolonisatie-,0.9721,2,0.9,strongly_related,kolonisatie,0
Historical_Slavery_Colonialism,wic-,0.9708,5,1.0,core,wic,0
Historical_Slavery_Colonialism,kolonies,0.9668,6,1.0,core,koloniën,0
Historical_Slavery_Colonialism,suikerplantage,0.9646,6,0.9,strongly_related,suikerplantages,0
Historical_Slavery_Colonialism,voc-,0.9637,16,1.0,core,voc,0
Historical_Slavery_Colonialism,slavernij-,0.9593,13,1.0,core,slavernij,0
Historical_Slavery_Colonialism,koffieplantages,0.9587,5,0.9,strongly_related,koffieplantage,0
Historical_Slavery_Colonialism,slavenmarkten,0.9522,12,0.9,strongly_related,slavenmarkt,0
Historical_Slavery_Colonialism,geschiedenis-,0.9438,2,0.3,context,geschiedenis,0
Historical_Slavery_Colonialism,plantagebezitters,0.9418,2,1.0,core,plantage-eigenaren,0
Historical_Slavery_Colonialism,slaaf-gemaakten,0.9409,27,1.0,core,slaafgemaakten,0
Historical_Slavery_Colonialism,slaven-,0.9278,7,1.0,core,slaven,0
Historical_Slavery_Colonialism,historie,0.9247,4,0.3,context,geschiedenis,0
Historical_Slavery_Colonialism,slaaf-,0.9245,15,1.0,core,slaaf,0
Historical_Slavery_Colonialism,slavenhandelaars,0.9213,2,0.9,strongly_related,slavenhandelaren,0
Historical_Slavery_Colonialism,koloniseren,0.9202,3,0.9,strongly_related,kolonisatie,0
Historical_Slavery_Colonialism,plantage-eigenaars,0.9187,2,1.0,core,plantage-eigenaren,0
Historical_Slavery_Colonialism,planter,0.9127,18,1.0,core,planters,0
Historical_Slavery_Colonialism,suikerrietplantages,0.9119,2,0.9,strongly_related,suikerplantages,0
Historical_Slavery_Colonialism,slaaf-gemaakte,0.9095,9,0.9,strongly_related,slaafgemaakte,0
Historical_Slavery_Colonialism,kolonialen,0.9085,4,0.9,strongly_related,kolonisten,0
Historical_Slavery_Colonialism,kolonien,0.9085,21,0.9,strongly_related,kolonisten,0
Historical_Slavery_Colonialism,schiedenis,0.9059,3,0.3,context,geschiedenis,0
Historical_Slavery_Colonialism,slavernijgerelateerde,0.9017,4,1.0,core,slavernij,0
Historical_Slavery_Colonialism,suikerrietplantage,0.8932,3,0.9,strongly_related,suikerplantages,0
Historical_Slavery_Colonialism,slavenhandelrederijen,0.8921,2,0.9,strongly_related,slavenhandelaren,0
Historical_Slavery_Colonialism,slavenhouder,0.891,7,0.9,strongly_related,slavenhouders,0
Historical_Slavery_Colonialism,slaafgemaakt,0.8907,13,0.9,strongly_related,slaafgemaakte,0
Historical_Slavery_Colonialism,emancipatieproces,0.8893,7,1.0,core,emancipatie,0
Historical_Slavery_Colonialism,history,0.8874,9,0.3,context,geschiedenis,0
Historical_Slavery_Colonialism,plantage-eigenaar,0.8857,12,1.0,core,plantage-eigenaren,0
Historical_Slavery_Colonialism,slaaf-gemaakt,0.8827,2,0.9,strongly_related,slaafgemaakte,0
Historical_Slavery_Colonialism,schaffing,0.8819,2,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,slavenhaler,0.8794,6,0.9,strongly_related,slavenhalers,0
Historical_Slavery_Colonialism,dékoloniale,0.8785,2,0.9,strongly_related,koloniale,0
Historical_Slavery_Colonialism,plantagebezitter,0.8758,2,1.0,core,plantage-eigenaren,0
Historical_Slavery_Colonialism,historical,0.8672,3,0.3,context,geschiedenis,0
Historical_Slavery_Colonialism,slavenhandels-,0.8672,2,1.0,core,slavenhandel,0
Historical_Slavery_Colonialism,slavenhoudenden,0.8651,2,0.9,strongly_related,slavenhouders,0
Historical_Slavery_Colonialism,slavenhandelaar,0.8603,14,0.9,strongly_related,slavenhandelaren,0
Historical_Slavery_Colonialism,schepen,0.8591,165,0.9,strongly_related,slavenschepen,0
Historical_Slavery_Colonialism,slavenhandelsnaties,0.8587,4,1.0,core,slavenhandel,0
Historical_Slavery_Colonialism,koloniserende,0.8581,2,0.9,strongly_related,kolonisatie,0
Historical_Slavery_Colonialism,dekoloniserend,0.8542,2,0.7,moderately_related,dekolonisatie,0
